packet_count,byte_count,flow_duration,protocol,label,attack_type
46,8,0,ICMP,malicious,Probe
255,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
255,86,0,UDP,normal,Normal
175,641,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,Probe
255,3104,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
133,1029,0,TCP,normal,Normal
236,0,0,TCP,malicious,Probe
255,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
58,3099,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,181,0,ICMP,normal,Normal
84,84,0,UDP,normal,Normal
255,0,0,TCP,malicious,DDoS
47,12,0,TCP,normal,Normal
276,0,0,TCP,malicious,DDoS
255,3000,0,TCP,normal,Normal
255,6004,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,4311,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
95,8,0,ICMP,malicious,Probe
255,699,0,TCP,normal,Normal
212,0,0,TCP,malicious,DDoS
255,3987,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
117,251,315,UDP,normal,Normal
255,1663,0,TCP,normal,Normal
255,1836,0,TCP,normal,Normal
255,88,0,UDP,normal,Normal
255,0,0,TCP,malicious,DDoS
300,0,0,TCP,malicious,DDoS
243,3396,2,TCP,normal,Normal
7,204,0,UDP,normal,Normal
255,1009,0,TCP,normal,Normal
255,252,1082,UDP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,354,0,TCP,normal,Normal
255,615,0,TCP,normal,Normal
247,0,0,TCP,normal,Normal
255,7505,0,TCP,normal,Normal
255,28,0,UDP,malicious,DDoS
255,1074,0,TCP,normal,Normal
255,1431,0,TCP,normal,Normal
255,9410,0,TCP,normal,Normal
255,2571,0,TCP,normal,Normal
249,0,0,TCP,normal,Normal
255,552,0,TCP,normal,Normal
255,2424,0,TCP,normal,Normal
255,0,0,TCP,normal,Normal
255,748,0,TCP,normal,Normal
255,755,0,TCP,normal,Normal
255,1,25950,TCP,malicious,Probe
255,0,0,TCP,malicious,DDoS
255,250,0,UDP,normal,Normal
255,1192,0,TCP,normal,Normal
255,2974,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
272,0,0,TCP,malicious,DDoS
259,0,0,TCP,malicious,DDoS
255,603,240,TCP,normal,Normal
294,0,0,TCP,malicious,DDoS
195,147,0,TCP,normal,Normal
255,92,0,UDP,normal,Normal
167,1413,1,TCP,normal,Normal
255,184,0,UDP,normal,Normal
176,1176,26,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
2,375,0,TCP,normal,Normal
255,1582,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
255,147,0,UDP,normal,Normal
255,1273,0,TCP,normal,Normal
263,1032,0,ICMP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
255,8673,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
255,2013,0,TCP,normal,Normal
82,1202,0,TCP,normal,Normal
255,10636,0,TCP,normal,Normal
255,0,0,TCP,malicious,Probe
129,16405,0,TCP,normal,Normal
26,334,0,TCP,malicious,Credential Attack
255,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
255,497,0,TCP,normal,Normal
292,0,0,TCP,malicious,DDoS
295,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
278,124,0,UDP,normal,Normal
92,748,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
46,8,0,ICMP,malicious,Probe
255,0,0,TCP,malicious,DDoS
255,8766,0,TCP,normal,Normal
185,9,0,TCP,normal,Normal
302,174,0,UDP,normal,Normal
255,1766,0,TCP,normal,Normal
260,0,0,TCP,malicious,DDoS
255,1,9015,TCP,malicious,Probe
196,143,7,TCP,normal,Normal
255,795,0,TCP,normal,Normal
99,245,0,TCP,normal,Normal
255,760,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
19,7062,0,TCP,normal,Normal
511,1032,0,ICMP,malicious,DDoS
272,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
287,0,0,TCP,malicious,DDoS
195,0,0,TCP,normal,Normal
486,0,0,TCP,malicious,Probe
255,1,0,UDP,malicious,Probe
286,0,0,TCP,malicious,DDoS
247,30,0,ICMP,normal,Normal
117,2411,1,TCP,normal,Normal
201,19,0,TCP,normal,Normal
163,990,0,TCP,normal,Normal
255,28,0,UDP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
255,1439,0,TCP,normal,Normal
255,879,0,TCP,normal,Normal
255,1535,15159,TCP,malicious,Credential Attack
255,2703,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
255,2139,0,TCP,normal,Normal
28,5052,0,TCP,normal,Normal
205,14416,0,TCP,normal,Normal
52,11791,0,TCP,normal,Normal
406,0,0,TCP,malicious,Probe
255,2670,0,TCP,normal,Normal
255,602,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,989,0,TCP,normal,Normal
255,1430,0,TCP,normal,Normal
214,1274,0,TCP,normal,Normal
104,1280,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,34826,0,TCP,normal,Normal
255,3004,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,Probe
38,1480,0,ICMP,malicious,DDoS
277,0,0,TCP,malicious,DDoS
255,8862,0,TCP,normal,Normal
274,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
255,6293,0,TCP,normal,Normal
255,1637,0,TCP,normal,Normal
255,13240,0,TCP,normal,Normal
193,4189,1,TCP,normal,Normal
255,673,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
28,832,4,TCP,malicious,Credential Attack
255,0,0,TCP,malicious,DDoS
50,8,0,ICMP,malicious,Probe
255,370,0,TCP,normal,Normal
255,589,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,7422,0,TCP,normal,Normal
2,13082,0,TCP,normal,Normal
255,2638,20,TCP,normal,Normal
255,1286,0,TCP,normal,Normal
255,65,0,ICMP,normal,Normal
255,28,0,UDP,malicious,DDoS
255,122,0,UDP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
235,151,0,TCP,normal,Normal
255,1195,0,TCP,normal,Normal
255,2010,0,TCP,normal,Normal
123,18,0,ICMP,malicious,Probe
281,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
276,0,0,TCP,malicious,DDoS
212,1682,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
60,8,0,ICMP,malicious,Probe
301,0,0,TCP,malicious,DDoS
255,1225,0,TCP,normal,Normal
63,8,0,ICMP,malicious,Probe
117,1574,18,TCP,normal,Normal
255,1709,0,TCP,normal,Normal
255,1,9235,TCP,malicious,Probe
255,0,0,TCP,malicious,Probe
255,1032,0,ICMP,malicious,DDoS
255,9719,0,TCP,normal,Normal
255,1102,0,TCP,normal,Normal
255,0,0,TCP,malicious,Probe
255,10660,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
129,1079,0,TCP,normal,Normal
255,7122,0,TCP,normal,Normal
280,0,0,TCP,malicious,DDoS
255,876,0,TCP,normal,Normal
255,1092,0,TCP,normal,Normal
255,3697,0,TCP,normal,Normal
156,1057,0,TCP,normal,Normal
111,8,0,ICMP,malicious,Probe
255,0,0,TCP,malicious,DDoS
255,1705,0,TCP,normal,Normal
276,0,0,TCP,malicious,DDoS
255,0,0,TCP,normal,Normal
255,180,0,UDP,normal,Normal
255,2965,0,TCP,normal,Normal
255,993,0,TCP,normal,Normal
258,0,0,TCP,malicious,DDoS
256,0,0,TCP,malicious,DDoS
251,9877,409,TCP,normal,Normal
255,877,0,TCP,normal,Normal
255,746,0,TCP,normal,Normal
94,0,0,TCP,malicious,DDoS
88,12,0,TCP,normal,Normal
255,2232,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,84,0,UDP,normal,Normal
300,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
255,716,0,TCP,normal,Normal
255,1,36613,TCP,malicious,Probe
212,0,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
255,2263,0,TCP,normal,Normal
255,5691,0,TCP,normal,Normal
255,532,0,TCP,normal,Normal
255,1902,0,TCP,normal,Normal
112,8,0,ICMP,malicious,Probe
255,147,0,UDP,normal,Normal
255,0,0,TCP,malicious,DDoS
53,567,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
42,5131424,5043,TCP,malicious,Credential Attack
255,740,0,TCP,normal,Normal
61,8,0,ICMP,malicious,Probe
160,0,0,TCP,normal,Normal
255,1433,0,TCP,normal,Normal
255,0,0,TCP,malicious,Probe
255,10389,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,917,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
255,1064,0,TCP,normal,Normal
255,1032,0,ICMP,malicious,DDoS
45,8,0,ICMP,malicious,Probe
255,0,0,TCP,malicious,Probe
255,251,0,UDP,normal,Normal
255,0,0,TCP,malicious,DDoS
202,1407,1,TCP,normal,Normal
295,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
255,983,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,1049,0,TCP,normal,Normal
255,15716,0,TCP,normal,Normal
255,632,0,TCP,normal,Normal
255,33,0,UDP,normal,Normal
255,0,0,TCP,malicious,Probe
255,0,0,TCP,malicious,Probe
255,114,0,UDP,normal,Normal
255,799,0,TCP,normal,Normal
260,0,0,TCP,malicious,DDoS
255,3176,0,TCP,normal,Normal
164,1312,1,TCP,normal,Normal
255,5966,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
255,10200,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
42,96,0,UDP,normal,Normal
255,1527,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,78,0,ICMP,normal,Normal
255,0,0,TCP,malicious,DDoS
38,0,0,TCP,normal,Normal
268,0,0,TCP,malicious,DDoS
37,0,0,TCP,malicious,Probe
255,0,0,TCP,malicious,Probe
255,3621,0,TCP,normal,Normal
286,0,0,TCP,malicious,DDoS
255,1469,0,TCP,normal,Normal
425,0,0,TCP,malicious,Probe
255,3478,0,TCP,normal,Normal
272,0,0,TCP,malicious,DDoS
255,4809,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
6,319,0,TCP,normal,Normal
246,1389,0,TCP,normal,Normal
255,3964,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,0,0,TCP,normal,Normal
255,6516,0,TCP,normal,Normal
255,8,0,ICMP,malicious,Probe
251,62854,0,TCP,malicious,DDoS
255,1698,0,TCP,normal,Normal
124,0,0,TCP,malicious,DDoS
274,0,0,TCP,malicious,DDoS
255,1155,0,TCP,normal,Normal
255,876,0,TCP,normal,Normal
255,6205,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,751,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
247,30,0,ICMP,normal,Normal
255,8237,0,TCP,normal,Normal
171,36,0,UDP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,86,0,UDP,normal,Normal
255,0,0,TCP,malicious,DDoS
55,0,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
255,2172,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,122,0,UDP,normal,Normal
255,8460,0,TCP,normal,Normal
126,850,1,TCP,normal,Normal
255,17759,0,TCP,normal,Normal
255,146,0,UDP,normal,Normal
255,0,0,TCP,malicious,DDoS
260,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
255,1,31401,TCP,malicious,Probe
255,0,0,TCP,malicious,DDoS
200,18,0,ICMP,malicious,Probe
25,4,0,TCP,normal,Normal
255,814,0,TCP,normal,Normal
257,0,0,TCP,malicious,DDoS
76,276,0,TCP,normal,Normal
255,183,0,UDP,normal,Normal
41,8,0,ICMP,malicious,Probe
51,150550,7805,TCP,normal,Normal
255,964,0,TCP,normal,Normal
255,92,0,UDP,normal,Normal
257,0,0,TCP,malicious,DDoS
135,0,0,TCP,malicious,DDoS
255,5500,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,1231,0,TCP,normal,Normal
255,1863,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,251,0,UDP,normal,Normal
255,0,0,TCP,normal,Normal
290,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
290,0,0,TCP,malicious,DDoS
255,3169,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
260,0,0,TCP,malicious,DDoS
255,1,0,UDP,malicious,Probe
255,28,0,UDP,malicious,DDoS
255,773,0,TCP,normal,Normal
486,1032,0,ICMP,malicious,DDoS
255,192,0,TCP,normal,Normal
84,1506,7,TCP,normal,Normal
27,0,0,TCP,malicious,Probe
255,1612,10,TCP,normal,Normal
457,520,0,ICMP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
255,592,0,TCP,normal,Normal
255,154,0,UDP,normal,Normal
255,3853,0,TCP,normal,Normal
255,1847,0,TCP,normal,Normal
219,852,0,TCP,normal,Normal
255,532,0,TCP,normal,Normal
255,4451,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,7110,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
173,1184,0,TCP,normal,Normal
255,1941,0,TCP,normal,Normal
511,1032,0,ICMP,malicious,DDoS
255,28,0,UDP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
255,6582,0,TCP,normal,Normal
255,92,0,UDP,normal,Normal
229,251,0,UDP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
275,0,0,TCP,malicious,DDoS
255,2812,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,16103,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
255,252,5784,UDP,normal,Normal
255,1547,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,580,0,TCP,normal,Normal
255,3562,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
79,62854,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
255,173,0,UDP,normal,Normal
169,1354,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,183,0,ICMP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,24191,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
70,1112,0,TCP,normal,Normal
34,4560,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
35,8,0,ICMP,malicious,Probe
255,2967,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
262,0,0,TCP,malicious,DDoS
255,1456,0,TCP,normal,Normal
195,0,1,TCP,malicious,Probe
255,611,0,TCP,normal,Normal
255,770,0,TCP,normal,Normal
459,0,0,TCP,malicious,Probe
255,0,0,TCP,malicious,DDoS
255,59,542,UDP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,58,0,UDP,normal,Normal
155,252,0,UDP,normal,Normal
255,30,0,ICMP,normal,Normal
72,13209,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
192,0,0,TCP,normal,Normal
75,12,0,TCP,normal,Normal
255,1040,0,TCP,normal,Normal
255,1715,0,TCP,normal,Normal
255,13498,0,TCP,normal,Normal
255,12965,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,1098,0,TCP,normal,Normal
255,172,0,UDP,normal,Normal
255,145,0,UDP,normal,Normal
255,3689,1,TCP,malicious,Credential Attack
59,8,0,ICMP,malicious,Probe
255,90,0,UDP,normal,Normal
255,0,0,TCP,malicious,Probe
135,1913,2,TCP,normal,Normal
14,1636,4,TCP,normal,Normal
255,1481,0,TCP,normal,Normal
255,7278,0,TCP,normal,Normal
255,1107,0,TCP,normal,Normal
255,30,0,ICMP,normal,Normal
262,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
255,7793,0,TCP,normal,Normal
255,2141,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,2464,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,1576,0,TCP,normal,Normal
300,180,0,UDP,normal,Normal
158,5610,30,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,251,10455,UDP,normal,Normal
255,0,0,TCP,malicious,Probe
284,0,0,TCP,malicious,DDoS
255,1,0,UDP,malicious,Probe
255,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
255,251,10326,UDP,normal,Normal
255,0,0,TCP,malicious,DDoS
170,16760,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
161,1236,0,TCP,normal,Normal
141,0,0,TCP,malicious,DDoS
255,3612,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
255,82,0,UDP,normal,Normal
126,149,0,TCP,normal,Normal
255,799,0,TCP,normal,Normal
255,2026,0,TCP,normal,Normal
255,1582,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
264,115,0,UDP,normal,Normal
255,0,0,TCP,malicious,DDoS
17,334,0,TCP,malicious,Credential Attack
28,8,0,ICMP,malicious,Probe
255,9614,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,0,0,TCP,normal,Normal
151,520,0,UDP,normal,Normal
19,0,0,TCP,malicious,Probe
255,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
101,88,28,UDP,normal,Normal
280,0,0,TCP,malicious,DDoS
187,1004,0,TCP,normal,Normal
255,789,0,TCP,normal,Normal
268,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
255,1800,0,TCP,normal,Normal
255,520,0,ICMP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
255,493,0,TCP,normal,Normal
225,18,0,ICMP,malicious,Probe
255,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
265,0,0,TCP,malicious,DDoS
255,4742,0,TCP,normal,Normal
1,64,0,ICMP,normal,Normal
210,182,0,UDP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,473,0,TCP,normal,Normal
255,158,0,UDP,normal,Normal
255,2561,0,TCP,normal,Normal
237,3701,0,TCP,malicious,Credential Attack
255,0,0,TCP,malicious,DDoS
255,114,0,UDP,normal,Normal
129,2033,202,TCP,normal,Normal
83,5891,0,TCP,normal,Normal
255,8,0,ICMP,malicious,Probe
255,2043,0,TCP,normal,Normal
255,2535,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,734,0,TCP,normal,Normal
255,1,41285,TCP,malicious,Probe
255,0,0,TCP,malicious,DDoS
114,29,0,UDP,normal,Normal
100,13239,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
178,231,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,123,0,UDP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
14,10971,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
33,18,0,ICMP,malicious,Probe
255,1012,0,TCP,normal,Normal
255,1,13488,TCP,malicious,Probe
155,0,0,TCP,malicious,DDoS
68,62854,0,TCP,malicious,DDoS
255,458,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,1078,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,425,0,TCP,normal,Normal
135,1212,4,TCP,normal,Normal
255,3751,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
62,0,0,TCP,malicious,Probe
255,12288,0,TCP,normal,Normal
110,1781,1,TCP,normal,Normal
214,62854,0,TCP,malicious,DDoS
255,2124,0,TCP,normal,Normal
255,0,25,TCP,malicious,Probe
320,0,0,TCP,malicious,Probe
255,1839,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
272,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
255,478,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,251,3047,UDP,normal,Normal
255,0,0,TCP,malicious,Probe
255,251,1327,UDP,normal,Normal
255,2125,0,TCP,normal,Normal
268,0,0,TCP,malicious,DDoS
37,383,0,TCP,normal,Normal
255,2599,0,TCP,normal,Normal
255,6824,0,TCP,normal,Normal
292,0,0,TCP,malicious,DDoS
255,16339,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,2530,0,TCP,normal,Normal
255,781,0,TCP,normal,Normal
179,0,0,TCP,malicious,Probe
255,252,860,UDP,normal,Normal
297,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
212,0,0,TCP,malicious,DDoS
255,5566,0,TCP,normal,Normal
255,0,0,TCP,malicious,Probe
255,23308,0,TCP,normal,Normal
255,8,0,ICMP,malicious,Probe
255,88,0,UDP,normal,Normal
255,172,0,UDP,normal,Normal
255,777,0,TCP,normal,Normal
255,23221,0,TCP,normal,Normal
120,1106,0,TCP,normal,Normal
255,580,475,TCP,normal,Normal
299,0,0,TCP,malicious,DDoS
178,860,8,TCP,normal,Normal
509,0,0,TCP,malicious,Probe
255,1,0,UDP,malicious,Probe
255,37540,0,TCP,normal,Normal
255,8844,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,28,0,UDP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
254,4148,27,TCP,normal,Normal
254,170,0,UDP,normal,Normal
255,2880,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
79,4491,0,TCP,normal,Normal
287,0,0,TCP,malicious,DDoS
4,62854,0,TCP,malicious,DDoS
255,494,0,TCP,normal,Normal
255,0,0,TCP,normal,Normal
214,1617,2,TCP,normal,Normal
133,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
90,0,0,TCP,normal,Normal
255,107,0,UDP,normal,Normal
255,1494,0,TCP,normal,Normal
255,3446,0,TCP,normal,Normal
255,252,5065,UDP,normal,Normal
256,116,0,UDP,normal,Normal
255,183,0,ICMP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
4,304,0,TCP,malicious,Credential Attack
100,53,0,TCP,normal,Normal
255,4992,0,TCP,normal,Normal
255,30,0,ICMP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,8236,0,TCP,normal,Normal
255,0,0,TCP,malicious,Probe
255,0,0,TCP,malicious,DDoS
216,5430,0,TCP,normal,Normal
85,2999,0,TCP,normal,Normal
255,3541,0,TCP,normal,Normal
255,12701,0,TCP,normal,Normal
255,128,0,UDP,normal,Normal
255,252,1985,UDP,normal,Normal
255,0,0,TCP,malicious,DDoS
62,641,0,TCP,normal,Normal
255,28,0,UDP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
1,83,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,Probe
255,0,0,TCP,malicious,DDoS
255,126,0,UDP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
255,721,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,251,5,UDP,normal,Normal
22,334,0,TCP,malicious,Credential Attack
276,0,0,TCP,malicious,DDoS
255,30,0,ICMP,normal,Normal
177,1382,0,TCP,normal,Normal
255,176,0,UDP,normal,Normal
255,164,0,UDP,normal,Normal
221,1934,1,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
255,2116,0,TCP,normal,Normal
255,177,0,UDP,normal,Normal
175,1509,0,TCP,normal,Normal
255,1832,0,TCP,normal,Normal
114,210,0,UDP,normal,Normal
255,576,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
264,0,0,TCP,malicious,DDoS
255,632,0,TCP,normal,Normal
45,1116,0,TCP,normal,Normal
255,4902,0,TCP,normal,Normal
254,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
164,165,0,TCP,normal,Normal
511,1032,0,ICMP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
187,59,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,1248,0,TCP,normal,Normal
255,2311,0,TCP,normal,Normal
189,2877,8,TCP,normal,Normal
511,1032,0,ICMP,malicious,DDoS
255,7048,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
263,0,0,TCP,malicious,DDoS
158,0,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
118,62854,0,TCP,malicious,DDoS
66,0,0,TCP,malicious,Probe
266,0,0,TCP,malicious,DDoS
255,28,0,UDP,malicious,DDoS
183,8,0,ICMP,malicious,Probe
51,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
